angle_deg,freq_Hz,S11_re,S11_im,S21_re,S21_im,S11_dB,S21_dB
0.0,1700000000,-9.205740000e-05,-7.767340000e-05,1.868174590e-02,-5.720910900e-03,-78.384008,-34.182364
0.0,1720000000,-9.098710000e-05,-7.713780000e-05,1.020420600e-02,-5.014708400e-03,-78.468289,-38.884918
0.0,1740000000,-9.218680000e-05,-7.719290000e-05,2.392059800e-02,-9.830647400e-03,-78.399173,-31.746799
0.0,1760000000,-9.345840000e-05,-7.831380000e-05,1.660733440e-02,1.893441400e-03,-78.277614,-35.537912
0.0,1780000000,-9.188220000e-05,-7.792720000e-05,2.660985640e-02,3.507221500e-03,-78.381833,-31.424353
0.0,1800000000,-9.128430000e-05,-7.565500000e-05,2.206478910e-02,-6.892504000e-03,-78.521227,-32.721648
0.0,1820000000,-9.075680000e-05,-7.605920000e-05,2.163591690e-02,-1.086944840e-02,-78.531963,-32.319114
0.0,1840000000,-9.278340000e-05,-7.817650000e-05,3.016726660e-02,2.102645100e-03,-78.320826,-30.388234
0.0,1860000000,-9.220600000e-05,-7.982750000e-05,3.914137960e-02,6.334512800e-03,-78.275612,-28.034995
0.0,1880000000,-8.991400000e-05,-7.807210000e-05,5.137436080e-02,3.098946920e-02,-78.483305,-24.437371
0.0,1900000000,-9.155400000e-05,-7.677270000e-05,9.535777000e-03,-1.554865680e-02,-78.453879,-34.779579
0.0,1920000000,-9.012950000e-05,-7.630160000e-05,6.904078180e-02,1.515876330e-02,-78.555734,-23.013413
0.0,1940000000,-9.310350000e-05,-8.067070000e-05,5.425701870e-02,1.650719770e-02,-78.188420,-24.926419
0.0,1960000000,-9.119370000e-05,-7.472790000e-05,7.978656080e-02,2.397438260e-02,-78.569680,-21.585988
0.0,1980000000,-9.291900000e-05,-7.344420000e-05,8.046576620e-02,6.498419750e-02,-78.530045,-19.707102
0.0,2000000000,-8.452590000e-05,-8.184060000e-05,1.058847188e-01,-4.115928160e-02,-78.587851,-18.892198
0.0,2020000000,-9.795860000e-05,-8.326700000e-05,1.588576835e-01,4.647063280e-02,-77.817460,-15.623242
0.0,2040000000,-8.498270000e-05,-7.865640000e-05,6.182442980e-02,-8.787582120e-02,-78.726072,-19.376279
0.0,2060000000,-8.833950000e-05,-7.598220000e-05,1.244367272e-01,-5.652170140e-02,-78.671910,-17.286417
0.0,2080000000,-8.636630000e-05,-9.057560000e-05,1.091979932e-01,-7.869498550e-02,-78.051229,-17.419113
0.0,2100000000,-8.620660000e-05,-7.690470000e-05,1.851916900e-01,2.373529000e-02,-78.746518,-14.576810
0.0,2120000000,-8.768050000e-05,-6.919860000e-05,9.298016080e-02,-6.020937680e-02,-79.039136,-19.111385
0.0,2140000000,-9.283680000e-05,-6.823040000e-05,1.095208692e-01,-7.531254170e-02,-78.769963,-17.528421
0.0,2160000000,-1.040148000e-04,-7.602730000e-05,4.823905540e-02,-1.019293350e-01,-77.799121,-18.956291
0.0,2180000000,-8.431870000e-05,-7.160360000e-05,7.053657980e-02,-2.046148362e-01,-79.123350,-13.293586
0.0,2200000000,-7.976090000e-05,-7.591540000e-05,1.780454720e-02,-9.096835820e-02,-79.163201,-20.658934
0.0,2220000000,-7.919080000e-05,-6.441150000e-05,-7.191578000e-04,3.900290740e-02,-79.821313,-28.176584
0.0,2240000000,-8.090870000e-05,-8.592980000e-05,5.715926240e-02,-2.407491400e-02,-78.560443,-24.149023
0.0,2260000000,-9.062910000e-05,-6.804280000e-05,5.919622380e-02,-7.040948960e-02,-78.913181,-20.725429
0.0,2280000000,-1.045602000e-04,-8.426920000e-05,1.229066588e-01,-4.041103180e-02,-77.439047,-17.762679
0.0,2300000000,-9.348510000e-05,-6.739060000e-05,8.451707360e-02,-3.172567200e-03,-78.767706,-21.454996
0.0,2320000000,-9.492900000e-05,-7.410440000e-05,3.500239680e-02,-9.700006640e-02,-78.385428,-19.732960
0.0,2340000000,-8.163980000e-05,-4.526710000e-05,1.352092365e-01,-8.679800600e-02,-80.597741,-15.881206
0.0,2360000000,-1.010675000e-04,-9.177390000e-05,1.275377801e-01,-7.325620100e-02,-77.296219,-16.648962
0.0,2380000000,-9.661570000e-05,-9.151580000e-05,4.755355640e-02,-4.320474000e-04,-77.517879,-26.455981
0.0,2400000000,-9.537230000e-05,-7.838400000e-05,5.269027800e-02,-7.389329800e-03,-78.170171,-25.480804
0.0,2420000000,-9.842590000e-05,-8.967060000e-05,9.788149000e-03,3.681327640e-02,-77.513286,-28.383251
0.0,2440000000,-9.831090000e-05,-8.819800000e-05,3.863277920e-02,-2.619539072e-01,-77.583559,-11.542055
0.0,2460000000,-9.678470000e-05,-8.312600000e-05,-6.142994280e-02,-1.439657960e-02,-77.884200,-24.000188
0.0,2480000000,-7.945300000e-05,-8.513830000e-05,8.586605280e-02,-4.070064640e-02,-78.676984,-20.443353
0.0,2500000000,-6.935230000e-05,-8.585920000e-05,2.244471388e-01,-2.051921560e-02,-79.142977,-12.941572
0.0,2520000000,-8.088600000e-05,-6.897260000e-05,8.817166280e-02,-4.847648160e-02,-79.469306,-19.946388
0.0,2540000000,-6.799270000e-05,-5.641960000e-05,1.577081846e-01,-1.865323480e-02,-81.075615,-15.982581
0.0,2560000000,-8.243260000e-05,-5.192310000e-05,5.153711600e-03,-3.853955200e-02,-80.226815,-28.204891
0.0,2580000000,-7.426750000e-05,-8.265050000e-05,-3.465484890e-02,-2.108638200e-02,-79.084468,-27.836773
0.0,2600000000,-1.093475000e-04,-8.827270000e-05,8.961965880e-02,-9.957769860e-02,-77.044561,-17.459984
0.0,2620000000,-6.952910000e-05,-8.892650000e-05,5.035745160e-02,6.978665500e-03,-78.947550,-25.876109
0.0,2640000000,-8.539570000e-05,-9.249620000e-05,4.747988330e-02,-1.238160530e-02,-78.000263,-26.184078
0.0,2660000000,-8.880660000e-05,-8.202410000e-05,5.521116700e-02,-2.912989600e-03,-78.352141,-25.147389
